CAMPUS,C200A001S16R,C200AM01S16R,C200AR01S16R,C300A001S16R,C300AM01S16R,C300AR01S16R,C400A001S16R,C400AM01S16R,C400AR01S16R,CA00A001S16R,CA00AM01S16R,CA00AR01S16R,CB00A001S16R,CB00AM01S16R,CB00AR01S16R,CE00A001S16R,CE00AM01S16R,CE00AR01S16R,CF00A001S16R,CF00AM01S16R,CF00AR01S16R,CH00A001S16R,CH00AM01S16R,CH00AR01S16R,CI00A001S16R,CI00AM01S16R,CI00AR01S16R,CL00A001S16R,CL00AM01S16R,CL00AR01S16R,CM00A001S16R,CM00AM01S16R,CM00AR01S16R,CR00A001S16R,CR00AM01S16R,CR00AR01S16R,CS00A001S16R,CS00AM01S16R,CS00AR01S16R,CW00A001S16R,CW00AM01S16R,CW00AR01S16R
'227803001,91,83,88,84,-1,88,.,.,.,57,53,62,53,-1,73,49,46,53,60,57,64,52,49,56,-1,-1,-1,33,35,35,54,49,59,43,38,47,30,24,37,81,79,86
'227803101,87,80,90,92,100,100,.,.,.,76,76,76,-1,-1,-1,62,62,64,77,76,83,71,74,70,-1,-1,-1,49,56,39,75,77,71,62,63,63,29,-1,36,82,79,83
'227803102,79,-1,-1,100,-1,-1,-1,-1,-1,61,70,64,30,-1,-1,57,66,58,64,70,69,58,68,60,.,.,.,54,67,53,58,69,58,54,66,56,25,40,-1,85,86,93
'227803103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227804101,76,91,69,95,100,94,.,.,.,85,89,84,78,82,75,79,83,79,87,90,87,80,79,80,.,.,.,68,75,64,83,87,81,69,77,68,55,63,54,92,96,89
'227804102,-1,-1,-1,100,100,100,.,.,.,87,89,85,78,78,78,76,83,69,89,89,89,84,91,77,.,.,.,81,89,72,84,89,80,79,85,73,90,100,-1,95,94,97
'227805041,.,.,.,.,.,.,.,.,.,78,83,68,78,82,68,79,84,72,75,74,65,78,-1,-1,.,.,.,.,.,.,81,92,72,65,73,53,48,56,-1,-1,-1,-1
'227805101,-1,-1,-1,.,.,.,.,.,.,73,71,75,73,70,76,66,66,68,77,72,79,62,70,60,.,.,.,.,.,.,69,70,71,40,40,47,-1,-1,-1,.,.,.
'227806005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806015,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
'227806017,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.
'227806023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806024,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806025,-1,-1,-1,.,.,.,.,.,.,30,33,32,24,-1,-1,30,33,32,38,-1,-1,38,-1,-1,.,.,.,-1,-1,-1,23,-1,-1,30,33,32,-1,-1,-1,-1,-1,.
'227806029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806031,100,-1,-1,.,.,.,.,.,.,98,100,96,100,-1,-1,.,.,.,98,100,94,88,-1,-1,.,.,.,.,.,.,100,100,100,.,.,.,.,.,.,100,100,100
'227806032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806035,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,.
'227806036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806039,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806043,.,.,.,.,.,.,.,.,.,100,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,.,-1,100,-1,-1,-1,.,-1,100,-1,-1
'227814001,100,100,100,100,100,100,-1,.,.,96,93,99,86,75,89,-1,.,-1,97,93,100,94,87,98,-1,-1,-1,-1,-1,-1,96,94,97,87,77,91,88,75,100,97,96,99
'227816001,70,-1,-1,83,79,79,.,.,.,66,70,68,68,68,65,65,70,66,69,73,71,64,69,66,.,.,.,49,57,51,64,67,66,57,64,59,24,25,34,91,82,100
'227816002,95,89,94,96,99,95,.,.,.,84,86,84,83,81,83,80,86,79,85,85,89,77,81,78,-1,-1,-1,57,72,52,83,87,80,70,76,70,54,70,51,90,91,90
'227816003,89,89,89,92,94,94,.,.,.,79,81,82,75,76,82,65,71,69,78,80,81,63,67,67,.,.,.,57,68,61,80,83,84,63,70,65,73,67,80,86,86,88
'227816004,81,80,87,90,92,89,.,.,.,84,85,84,79,78,81,76,79,77,86,84,88,74,77,73,44,-1,-1,60,67,55,81,85,80,70,75,70,41,39,35,87,86,88
'227816005,89,-1,-1,100,-1,-1,.,.,.,67,71,68,63,71,-1,64,66,67,67,71,71,65,70,66,.,.,.,56,61,59,66,70,66,60,66,61,43,46,46,83,82,91
'227816101,-1,-1,-1,79,100,100,.,.,.,66,63,70,64,59,60,63,61,67,69,67,74,64,61,68,.,.,.,46,49,49,63,59,66,55,53,60,42,38,45,86,81,86
'227817101,-1,-1,-1,100,-1,-1,.,.,.,74,82,73,71,81,71,73,82,73,74,84,74,73,82,73,.,.,.,59,75,53,72,80,72,64,76,62,17,-1,-1,81,86,71
'227819101,86,83,83,-1,-1,-1,.,.,.,78,79,77,62,64,64,72,72,73,80,78,81,76,78,75,.,.,.,55,64,50,76,80,74,52,56,50,54,67,42,92,86,95
'227820001,-1,.,.,-1,.,-1,.,.,.,84,65,77,70,-1,70,84,62,77,86,76,81,84,69,77,.,.,.,74,65,65,81,54,73,78,66,68,46,-1,35,88,-1,-1
'227820041,.,.,.,.,.,.,.,.,.,75,79,74,76,71,72,74,78,73,79,84,79,75,79,74,.,.,.,59,68,57,71,75,69,64,70,63,29,37,23,68,75,63
'227820042,-1,-1,-1,.,.,.,.,.,.,78,82,74,87,92,83,77,83,73,78,84,75,77,82,74,.,.,.,64,74,58,77,81,73,67,75,60,45,49,43,82,78,78
'227820043,63,-1,-1,.,.,.,.,.,.,73,76,75,84,71,86,74,76,75,78,80,82,73,75,74,.,.,.,61,65,63,68,71,67,69,71,70,18,18,18,94,100,100
'227820044,100,-1,-1,.,.,.,.,.,.,70,70,69,86,73,82,70,70,69,71,72,73,69,69,68,.,.,.,56,59,55,70,69,65,61,62,60,31,30,29,87,100,75
'227820101,83,-1,-1,-1,-1,-1,.,.,.,76,84,72,71,82,73,76,83,70,79,85,77,76,84,71,.,.,.,68,80,62,73,83,66,72,82,66,28,31,-1,100,-1,-1
'227820102,.,.,.,.,.,.,.,.,.,61,65,59,66,59,73,61,65,58,70,72,68,61,66,58,.,.,.,55,61,50,53,59,50,60,66,57,23,29,-1,-1,-1,-1
'227820103,.,.,.,.,.,.,.,.,.,71,74,69,-1,-1,-1,72,74,70,78,80,76,72,74,70,.,.,.,67,69,66,65,67,62,68,70,67,44,-1,-1,-1,-1,-1
'227820104,-1,-1,-1,-1,-1,-1,.,.,.,68,75,62,68,73,64,67,74,61,68,74,61,66,73,59,.,.,.,50,60,40,69,75,63,64,71,57,33,42,-1,100,-1,-1
'227821101,57,54,67,88,-1,-1,.,.,.,69,62,78,33,-1,45,48,33,64,66,55,79,61,54,70,.,.,.,20,-1,-1,71,66,77,54,45,66,23,-1,34,76,69,84
'227824001,.,.,.,.,.,.,.,.,.,59,62,59,61,61,65,60,63,59,63,64,64,58,62,57,-1,-1,-1,52,55,51,55,60,54,53,54,53,17,-1,-1,56,-1,-1
'227824002,-1,-1,-1,.,.,.,.,.,.,67,68,62,62,70,66,67,68,62,72,71,70,67,68,62,.,.,.,47,51,42,63,66,55,48,47,44,26,30,20,70,-1,71
'227825001,92,-1,-1,.,.,.,.,.,.,68,69,65,62,64,63,68,69,66,75,76,70,68,69,65,.,.,.,61,64,58,63,62,62,60,63,58,24,25,21,76,56,75
'227826101,82,-1,-1,-1,-1,-1,.,.,.,60,50,76,35,-1,71,40,27,59,64,51,81,44,32,59,.,.,.,31,21,50,57,49,71,36,26,52,43,-1,50,83,74,94
'227827001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227828001,.,.,.,.,.,.,.,.,.,54,-1,28,60,-1,-1,48,-1,-1,54,-1,31,48,-1,-1,.,.,.,-1,-1,-1,55,-1,-1,52,-1,30,-1,.,-1,64,-1,-1
'227901002,99,100,97,97,-1,100,-1,-1,-1,85,76,80,70,60,61,74,69,65,88,80,85,78,71,71,.,.,.,49,53,36,82,73,75,69,65,59,49,45,39,93,87,91
'227901004,79,-1,70,63,-1,43,.,.,.,69,74,54,71,71,59,68,74,53,72,77,58,68,74,53,-1,-1,-1,51,67,32,66,71,50,62,71,46,39,38,25,86,90,76
'227901005,76,82,70,89,83,92,-1,-1,-1,84,86,79,61,75,50,67,76,57,88,90,84,78,83,70,86,.,-1,52,50,37,79,79,73,69,80,60,43,61,31,97,98,96
'227901006,73,-1,-1,76,-1,54,.,.,.,66,77,51,66,74,53,66,78,50,72,80,60,67,78,51,-1,.,-1,50,73,30,61,75,43,60,76,44,46,69,24,52,-1,36
'227901007,69,-1,-1,57,-1,47,.,.,.,66,75,48,60,73,41,66,75,48,72,79,57,66,75,48,-1,-1,-1,49,69,28,61,72,40,60,72,42,35,34,19,83,92,70
'227901008,76,83,75,67,-1,55,.,.,.,68,61,59,56,48,43,65,62,52,73,62,67,68,61,57,-1,.,-1,51,63,35,64,60,52,58,57,46,34,29,26,77,64,74
'227901009,90,83,87,92,94,86,-1,-1,-1,90,89,85,73,71,58,81,78,73,92,92,89,85,85,77,-1,.,-1,62,85,43,88,86,82,77,80,66,61,60,50,96,97,94
'227901012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901013,96,96,91,91,93,84,.,.,.,93,94,87,76,79,59,84,86,70,95,95,92,90,92,82,-1,.,-1,73,91,47,91,93,83,80,85,66,66,68,51,96,97,92
'227901014,79,-1,-1,-1,-1,-1,.,.,.,63,55,51,61,50,52,62,53,49,70,57,60,64,59,51,-1,-1,-1,43,48,29,58,54,44,55,50,44,35,24,30,59,-1,-1
'227901015,-1,-1,-1,.,.,.,.,.,.,80,-1,60,-1,.,-1,63,-1,42,68,-1,50,67,-1,45,.,.,.,-1,.,-1,97,-1,83,67,.,50,60,.,-1,91,.,86
'227901017,70,70,56,94,100,90,-1,-1,-1,75,77,64,71,65,61,73,76,60,80,81,71,74,77,62,-1,-1,-1,53,70,35,72,75,58,66,71,53,39,41,28,90,90,85
'227901018,100,-1,100,100,-1,100,100,.,-1,100,100,100,100,.,100,100,-1,100,100,100,100,100,100,100,-1,.,.,-1,-1,-1,100,100,100,100,-1,100,100,.,-1,100,100,100
'227901019,-1,.,-1,70,-1,-1,.,.,.,63,71,48,51,64,37,65,73,50,70,77,55,65,72,50,-1,.,-1,50,65,31,58,66,43,59,69,43,38,49,24,74,-1,56
'227901025,.,.,.,.,.,.,.,.,.,36,-1,27,56,-1,-1,36,-1,25,47,-1,36,33,-1,27,.,.,.,30,-1,28,20,-1,-1,34,-1,26,-1,-1,-1,-1,-1,-1
'227901026,-1,.,-1,.,.,.,.,.,.,27,-1,17,-1,-1,-1,29,-1,16,27,-1,15,27,-1,16,.,.,.,17,-1,-1,27,-1,20,27,-1,18,-1,-1,-1,-1,.,-1
'227901027,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901028,97,92,96,98,92,100,-1,-1,-1,97,97,98,92,94,96,95,96,97,97,97,98,97,97,97,.,.,.,88,89,90,.,.,.,89,87,93,29,-1,-1,100,100,100
'227901029,.,.,.,100,-1,-1,.,.,.,54,79,19,63,-1,-1,54,79,18,63,85,31,53,76,17,.,.,.,54,79,19,50,76,12,54,78,17,.,.,.,-1,-1,-1
'227901030,.,.,.,.,.,.,.,.,.,-1,-1,.,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,-1,-1,.,-1,-1,.,.,.,.
'227901032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901035,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901043,81,83,83,68,71,67,.,.,.,69,70,73,57,49,67,59,61,63,72,72,77,63,65,67,100,-1,-1,38,43,42,67,68,69,40,42,48,32,33,37,94,95,95
'227901044,94,94,96,99,99,99,-1,-1,-1,85,87,86,50,53,58,51,57,55,87,89,89,70,75,71,-1,-1,-1,39,52,42,83,85,84,34,40,39,23,31,19,99,100,99
'227901045,81,82,86,84,100,88,-1,-1,-1,83,83,86,59,54,62,62,59,67,86,86,88,73,73,77,-1,-1,-1,41,46,46,80,80,83,57,56,62,38,39,37,93,93,94
'227901046,60,67,73,62,65,60,.,.,.,46,50,51,45,44,52,44,50,50,51,56,61,45,50,50,.,.,.,30,38,34,40,46,42,34,40,40,22,24,25,48,50,50
'227901047,95,100,97,91,91,91,.,.,.,86,86,88,76,73,73,67,66,69,89,87,90,74,73,78,.,.,.,46,47,52,85,85,87,60,56,64,45,43,46,95,95,97
'227901051,-1,-1,-1,100,-1,-1,.,.,.,55,56,53,50,45,50,54,54,51,60,58,58,56,58,53,.,.,.,46,59,39,51,54,49,46,48,45,35,39,30,79,83,-1
'227901052,82,82,82,88,92,88,.,.,.,84,84,88,70,67,80,70,69,74,86,85,90,74,75,80,100,-1,-1,50,54,56,82,84,85,56,57,65,45,42,46,91,91,94
'227901053,58,60,60,67,-1,-1,.,.,.,57,61,58,55,53,58,57,61,58,58,62,62,57,62,58,-1,-1,-1,45,53,44,56,60,55,49,54,49,29,37,28,67,71,-1
'227901054,77,73,82,82,90,90,.,.,.,66,69,67,63,66,64,63,67,65,72,73,75,65,68,66,83,-1,-1,51,61,51,61,66,60,52,56,53,33,46,32,77,80,78
'227901055,63,-1,-1,41,-1,55,.,.,.,48,47,51,42,39,49,47,46,50,51,50,54,49,48,50,.,.,.,33,36,32,45,44,48,37,36,38,22,24,26,49,-1,62
'227901057,93,89,95,85,87,93,71,-1,-1,69,70,74,56,55,52,61,62,67,72,71,78,62,64,68,-1,-1,-1,45,52,51,65,69,70,49,48,57,27,29,32,81,82,87
'227901058,40,-1,-1,.,.,.,.,.,.,49,51,54,45,37,57,49,50,53,54,56,62,50,52,54,-1,-1,-1,39,42,42,45,47,47,40,42,45,20,19,19,63,-1,71
'227901059,88,91,91,92,90,90,.,.,.,82,85,84,67,71,71,66,71,69,84,86,87,77,82,80,-1,-1,-1,47,50,50,81,85,82,57,63,61,42,50,44,89,90,91
'227901060,85,89,84,92,94,86,.,.,.,82,83,85,61,58,67,66,67,71,82,81,87,74,77,79,100,-1,-1,44,53,49,81,86,84,57,61,63,50,53,57,89,89,92
'227901061,86,89,84,97,100,90,71,-1,-1,65,69,66,59,61,62,60,65,61,66,69,68,62,66,63,-1,-1,-1,43,53,42,64,69,63,48,54,50,26,25,28,86,88,83
'227901062,98,100,98,96,98,96,.,.,.,96,97,95,93,96,92,90,94,88,96,97,97,94,96,93,-1,-1,-1,81,92,78,95,97,94,78,85,77,73,77,70,96,98,96
'227901064,-1,-1,-1,77,-1,-1,.,.,.,49,55,48,44,45,44,48,54,46,.,.,.,49,58,49,-1,-1,-1,38,51,36,49,55,48,38,45,38,22,24,19,76,75,88
'227901065,80,-1,-1,69,82,73,.,.,.,56,56,58,50,54,53,54,54,56,56,56,58,56,54,58,-1,-1,-1,45,48,46,.,.,.,46,49,48,31,36,20,87,83,75
'227901101,.,.,.,.,.,.,.,.,.,75,76,72,85,80,90,74,77,71,79,78,81,74,76,70,.,.,.,75,78,70,71,75,65,70,72,65,42,44,39,83,-1,-1
'227901102,.,.,.,.,.,.,.,.,.,67,71,65,66,72,66,67,72,66,71,73,69,66,70,64,.,.,.,69,73,66,64,69,61,64,69,62,25,42,-1,80,100,83
'227901103,100,100,100,92,100,100,100,-1,-1,93,91,96,85,100,-1,70,65,75,93,91,94,83,79,88,.,.,.,46,-1,-1,93,91,97,81,77,85,73,73,80,96,93,98
'227901104,75,-1,-1,-1,-1,-1,.,.,.,70,73,69,52,-1,-1,50,53,41,66,70,67,60,63,57,.,.,.,52,53,53,75,76,71,47,48,42,52,60,50,94,97,95
'227901105,-1,-1,-1,-1,-1,-1,.,.,.,91,91,93,87,88,85,89,89,92,90,89,91,92,92,95,-1,-1,-1,91,91,91,93,94,96,85,82,88,81,71,89,95,88,100
'227901106,-1,-1,-1,.,.,.,.,.,.,72,73,69,59,64,64,70,72,67,75,72,76,71,72,69,.,.,.,69,71,66,68,75,63,64,66,62,51,50,50,95,100,88
'227901107,93,90,100,100,-1,-1,.,.,.,81,80,85,56,50,60,54,54,58,82,80,85,62,62,66,.,.,.,56,50,58,80,80,86,61,60,68,47,49,54,91,90,95
'227901108,.,.,.,.,.,.,.,.,.,63,66,68,59,56,56,64,68,69,61,66,70,63,67,69,.,.,.,60,66,62,66,67,65,59,62,63,38,33,33,80,-1,-1
'227901109,-1,-1,-1,.,.,.,.,.,.,66,69,63,79,86,-1,66,68,63,69,69,69,66,69,64,.,.,.,64,66,62,63,68,58,63,66,61,13,-1,-1,-1,-1,-1
'227901110,100,100,100,95,88,100,.,.,.,93,91,96,83,-1,-1,76,73,86,94,92,97,83,82,85,.,.,.,50,-1,-1,92,91,95,75,72,84,75,68,89,96,94,99
'227901111,-1,-1,-1,.,.,.,.,.,.,72,80,68,68,74,64,71,78,67,81,86,81,74,85,71,.,.,.,70,94,61,61,72,53,62,74,54,33,43,-1,-1,-1,-1
'227901112,91,90,100,100,100,100,.,.,.,95,95,96,62,-1,86,72,-1,83,96,96,98,97,97,100,.,.,.,-1,-1,-1,94,94,95,66,64,81,41,40,50,96,96,96
'227901113,65,56,67,91,-1,-1,.,.,.,63,64,70,41,35,47,54,52,64,69,66,78,56,58,64,.,.,.,49,50,63,59,62,62,42,43,53,29,25,36,86,88,88
'227901114,100,-1,-1,-1,-1,-1,.,.,.,72,74,74,48,45,55,72,74,74,73,72,78,72,76,74,100,-1,-1,65,71,63,71,77,70,61,65,63,60,63,63,92,100,100
'227901115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901116,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,66,56,60,63,58,57,64,55,61,67,61,58,66,56,.,.,.,64,70,62,56,65,51,52,61,51,27,41,-1,82,-1,-1
'227901117,94,100,100,-1,-1,-1,.,.,.,95,95,96,100,100,100,95,93,93,94,93,94,92,93,93,-1,-1,-1,100,-1,-1,96,97,98,77,76,82,65,55,68,96,95,96
'227901118,-1,-1,-1,-1,-1,-1,.,.,.,62,63,61,56,55,60,62,63,61,62,61,60,62,63,61,-1,-1,-1,60,60,60,62,65,62,60,61,59,14,23,-1,100,-1,-1
'227901119,96,100,94,97,100,100,.,.,.,93,94,96,67,-1,-1,68,71,71,95,95,97,81,80,89,-1,-1,-1,67,-1,-1,91,93,95,81,85,86,66,74,70,95,96,98
'227901120,100,-1,-1,67,-1,-1,.,.,.,78,78,82,-1,-1,-1,73,75,77,78,78,82,74,74,78,.,.,.,67,68,68,78,78,81,64,63,71,62,67,61,97,95,100
'227901121,81,71,86,100,-1,-1,.,.,.,90,88,92,46,-1,-1,63,59,66,94,91,99,88,95,92,.,.,.,67,-1,-1,85,86,85,58,57,66,56,54,62,94,91,96
'227901122,96,95,95,-1,-1,-1,.,.,.,76,76,78,60,58,64,55,57,57,77,77,79,61,62,63,.,.,.,50,52,52,75,74,76,50,53,53,49,50,50,96,95,97
'227901123,100,100,100,85,91,91,.,.,.,86,84,89,76,73,73,74,73,75,86,80,90,79,76,80,.,.,.,79,79,86,87,87,88,63,63,67,50,50,54,91,88,96
'227901124,-1,-1,-1,82,-1,-1,.,.,.,67,74,65,65,73,64,66,74,63,71,75,68,66,73,64,.,.,.,62,75,60,63,73,62,59,69,57,21,-1,-1,-1,-1,-1
'227901125,.,.,.,100,-1,-1,.,.,.,65,72,67,57,64,64,65,71,66,70,69,74,66,73,66,.,.,.,62,68,61,61,74,61,61,68,62,45,56,52,-1,-1,-1
'227901126,-1,-1,-1,.,.,.,.,.,.,86,94,84,86,89,89,86,94,83,86,93,85,86,95,82,.,.,.,82,95,75,87,94,83,80,92,76,48,67,40,100,100,100
'227901127,100,-1,-1,91,-1,-1,.,.,.,69,73,71,73,-1,-1,68,72,69,73,73,76,67,71,69,-1,-1,-1,67,73,68,65,72,65,65,71,66,16,-1,-1,89,-1,-1
'227901128,82,86,100,.,.,.,.,.,.,84,82,89,45,39,58,57,46,71,82,78,90,82,78,86,.,.,.,-1,-1,-1,86,86,88,59,54,74,48,-1,50,99,99,100
'227901129,-1,-1,-1,.,.,.,.,.,.,58,59,61,55,46,63,59,60,61,60,58,64,61,65,61,.,.,.,60,66,61,57,60,57,53,54,54,31,-1,-1,57,-1,-1
'227901130,100,-1,-1,.,.,.,.,.,.,70,69,71,67,55,73,69,68,70,74,74,74,69,69,69,.,.,.,64,66,60,67,65,68,59,60,58,49,55,48,93,100,100
'227901131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901132,-1,-1,-1,.,.,.,.,.,.,61,61,60,-1,-1,-1,61,61,58,72,67,76,59,57,57,.,.,.,56,56,54,53,56,47,57,56,55,25,24,24,89,100,86
'227901133,.,.,.,-1,-1,-1,.,.,.,76,73,82,-1,-1,-1,63,61,71,80,74,84,72,68,78,-1,-1,-1,65,60,74,72,72,79,62,60,72,43,57,36,93,90,97
'227901136,100,-1,-1,100,-1,-1,.,.,.,81,84,83,-1,-1,-1,81,84,85,77,83,78,80,84,82,.,.,.,68,73,75,86,84,89,64,69,70,38,50,43,79,78,89
'227901138,86,88,85,85,87,84,.,.,.,79,79,82,41,39,52,70,71,72,82,80,87,70,71,74,.,.,.,80,83,80,77,79,77,65,65,68,44,44,47,88,86,91
'227901139,-1,-1,-1,.,.,.,.,.,.,60,72,56,50,67,45,58,71,55,61,66,61,64,78,62,.,.,.,73,82,77,58,78,52,56,70,52,34,73,-1,70,-1,-1
'227901140,86,-1,-1,-1,-1,-1,.,.,.,65,66,66,42,44,38,54,56,56,70,67,73,60,62,63,.,.,.,49,56,42,61,65,60,48,52,48,29,34,27,89,90,86
'227901141,-1,-1,-1,95,86,100,.,.,.,60,64,59,59,63,56,59,63,57,62,65,63,60,64,58,.,.,.,62,65,60,59,62,54,57,61,55,53,68,47,41,-1,-1
