CAMPUS,C200A001S16R,C200AM01S16R,C200AR01S16R,C300A001S16R,C300AM01S16R,C300AR01S16R,C400A001S16R,C400AM01S16R,C400AR01S16R,CA00A001S16R,CA00AM01S16R,CA00AR01S16R,CB00A001S16R,CB00AM01S16R,CB00AR01S16R,CE00A001S16R,CE00AM01S16R,CE00AR01S16R,CF00A001S16R,CF00AM01S16R,CF00AR01S16R,CH00A001S16R,CH00AM01S16R,CH00AR01S16R,CI00A001S16R,CI00AM01S16R,CI00AR01S16R,CL00A001S16R,CL00AM01S16R,CL00AR01S16R,CM00A001S16R,CM00AM01S16R,CM00AR01S16R,CR00A001S16R,CR00AM01S16R,CR00AR01S16R,CS00A001S16R,CS00AM01S16R,CS00AR01S16R,CW00A001S16R,CW00AM01S16R,CW00AR01S16R
'227901143,91,100,92,99,100,96,.,.,.,93,94,93,79,81,81,81,83,81,93,94,94,85,86,84,-1,-1,-1,89,97,83,92,93,92,79,80,82,56,58,52,96,96,96
'227901144,.,.,.,100,-1,-1,.,.,.,76,85,73,70,82,64,76,85,73,78,84,76,76,85,72,-1,-1,-1,77,86,72,75,86,70,75,84,72,44,50,35,85,90,90
'227901145,-1,-1,-1,-1,-1,-1,.,.,.,71,71,72,72,76,76,70,70,72,70,70,73,70,69,71,.,.,.,69,67,70,72,72,72,60,59,61,41,44,32,-1,-1,-1
'227901146,97,92,100,100,-1,-1,.,.,.,89,86,91,-1,-1,-1,76,76,81,91,88,93,85,83,89,.,.,.,76,73,80,86,85,89,64,61,71,54,46,58,90,88,92
'227901147,68,71,86,94,100,86,100,-1,-1,80,81,82,71,75,88,69,75,70,79,81,86,75,78,76,.,.,.,72,86,70,80,82,78,64,71,69,39,38,41,90,90,93
'227901148,84,88,88,96,95,95,.,.,.,80,83,80,64,-1,-1,63,68,60,85,86,87,65,69,64,-1,-1,-1,61,65,58,75,80,73,61,65,59,45,54,48,95,95,96
'227901149,100,-1,-1,.,.,.,.,.,.,65,74,58,73,73,81,64,74,57,66,78,61,64,74,55,.,.,.,57,72,48,64,71,56,57,69,50,46,48,47,67,-1,-1
'227901150,.,.,.,.,.,.,.,.,.,46,48,44,38,40,37,46,49,44,54,56,50,55,57,52,.,.,.,46,50,36,36,38,38,38,43,31,22,35,-1,-1,-1,-1
'227901151,78,80,90,86,-1,-1,.,.,.,73,71,77,68,72,69,72,68,76,73,64,81,72,69,74,-1,-1,-1,70,68,76,74,78,73,63,61,68,47,60,35,84,81,87
'227901152,100,-1,-1,65,67,67,.,.,.,67,66,66,60,61,50,66,65,65,67,62,68,67,66,67,.,.,.,64,64,63,67,70,64,63,62,61,29,42,23,65,56,67
'227901154,94,92,100,84,85,85,-1,-1,-1,92,92,94,50,50,50,57,57,63,91,91,94,88,86,90,.,.,.,56,56,56,93,93,94,69,68,77,71,67,79,95,95,97
'227901155,94,93,93,95,92,96,.,.,.,93,93,94,76,60,90,84,74,89,94,92,95,87,87,87,.,.,.,83,87,87,93,93,94,75,75,78,37,44,35,96,95,97
'227901156,100,-1,-1,.,.,.,.,.,.,72,74,73,27,-1,-1,72,74,73,74,75,77,72,75,72,.,.,.,69,73,71,69,73,68,60,63,62,32,39,-1,87,82,88
'227901157,-1,-1,-1,.,.,.,.,.,.,68,64,72,67,59,77,67,63,71,74,69,79,68,66,71,.,.,.,74,74,74,62,60,66,65,61,70,22,-1,35,-1,-1,-1
'227901158,100,-1,-1,90,-1,-1,.,.,.,70,66,73,54,-1,-1,59,55,60,71,69,71,62,56,66,.,.,.,50,45,49,68,62,75,54,50,56,-1,-1,-1,91,90,94
'227901159,100,-1,-1,100,-1,-1,.,.,.,90,93,89,88,85,90,90,93,88,93,95,92,90,94,87,-1,-1,-1,89,95,85,88,92,86,87,91,84,58,75,56,100,100,100
'227901160,73,-1,-1,53,71,-1,.,.,.,70,78,65,88,100,83,69,77,65,71,78,70,69,76,64,.,.,.,67,82,55,69,77,61,62,73,54,41,48,41,72,83,83
'227901161,-1,-1,-1,-1,-1,-1,.,.,.,72,77,69,51,48,52,71,78,69,76,79,78,74,81,72,.,.,.,77,85,73,68,76,61,67,74,64,22,36,-1,72,92,67
'227901162,-1,-1,-1,.,.,.,.,.,.,61,67,60,57,46,61,60,67,59,57,62,57,61,69,59,100,-1,-1,58,67,54,65,71,63,54,61,54,43,50,44,100,-1,-1
'227901163,.,.,.,100,100,100,.,.,.,86,91,85,89,82,88,86,91,85,88,92,86,86,92,84,-1,-1,-1,86,92,84,85,90,84,86,91,84,62,71,52,100,-1,-1
'227901164,.,.,.,.,.,.,.,.,.,50,51,55,54,58,65,50,51,55,52,53,60,49,50,54,.,.,.,48,50,53,48,50,51,46,48,52,46,52,33,75,-1,-1
'227901165,-1,-1,-1,100,-1,-1,.,.,.,82,88,79,95,100,88,82,87,78,83,87,79,81,87,78,.,.,.,82,87,78,81,89,79,81,87,77,50,55,45,83,-1,-1
'227901166,58,-1,-1,-1,-1,-1,.,.,.,69,69,69,59,-1,100,67,68,67,73,70,75,69,70,68,.,.,.,67,68,65,66,68,63,55,57,56,44,43,47,73,70,68
'227901168,78,-1,-1,.,.,.,.,.,.,69,77,65,57,73,45,69,76,65,68,73,66,69,76,66,.,.,.,72,79,68,70,80,64,67,76,63,57,63,50,93,83,100
'227901170,100,100,100,100,-1,-1,.,.,.,84,82,85,63,-1,-1,77,71,77,86,80,91,77,72,80,-1,-1,-1,72,70,82,83,83,79,60,56,63,46,48,40,92,93,90
'227901171,-1,-1,-1,-1,-1,-1,.,.,.,74,81,75,83,93,80,72,78,73,76,79,83,73,80,74,.,.,.,74,84,76,72,83,69,66,76,66,62,73,64,100,-1,-1
'227901172,90,91,91,100,100,100,.,.,.,78,76,79,74,74,84,71,69,74,76,74,79,70,68,71,.,.,.,70,71,69,79,79,79,65,62,69,51,55,45,91,90,92
'227901173,89,93,87,100,100,100,.,.,.,75,71,78,55,45,55,68,62,71,78,75,82,71,65,74,.,.,.,67,63,63,72,66,74,60,57,61,30,26,31,88,85,91
'227901174,-1,-1,-1,.,.,.,.,.,.,61,67,59,55,50,65,60,66,57,64,68,61,62,68,58,.,.,.,61,70,57,59,66,56,55,62,52,46,53,43,86,-1,-1
'227901175,-1,-1,-1,.,.,.,.,.,.,56,55,55,66,58,67,57,56,56,60,56,61,55,54,54,.,.,.,58,57,57,51,55,47,51,51,49,13,-1,-1,-1,-1,-1
'227901176,.,.,.,.,.,.,.,.,.,63,73,64,63,71,-1,61,71,62,65,72,68,62,72,63,.,.,.,52,65,51,62,73,61,52,65,53,29,33,30,89,91,91
'227901177,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901178,-1,-1,-1,.,.,.,.,.,.,58,67,55,47,56,44,57,66,54,57,69,55,60,71,57,.,.,.,61,74,56,58,66,54,52,63,49,27,36,24,56,-1,-1
'227901179,88,76,96,93,96,96,-1,-1,-1,80,80,82,55,56,56,57,59,61,82,81,88,66,68,70,-1,-1,-1,60,68,64,77,79,77,52,53,56,33,30,39,87,88,88
'227901180,95,94,94,99,100,98,.,.,.,96,97,98,100,100,100,93,88,100,96,96,99,95,96,98,-1,-1,-1,95,100,91,96,98,97,91,92,96,85,86,90,96,97,99
'227901181,93,97,97,98,100,97,.,.,.,93,94,94,77,88,75,87,87,91,95,94,97,92,90,94,.,.,.,89,92,88,91,94,92,77,76,82,61,69,59,93,94,94
'227901182,94,96,92,100,100,100,.,.,.,90,89,92,68,79,64,79,78,81,91,88,93,86,84,89,-1,-1,-1,77,74,79,90,90,91,70,69,74,51,50,53,93,91,95
'227901183,94,95,95,100,100,100,.,.,.,91,94,91,85,83,83,86,92,88,91,93,91,88,92,87,-1,-1,-1,100,100,100,90,94,90,75,83,73,64,70,61,93,96,94
'227901184,100,100,100,95,96,94,.,.,.,95,95,95,70,-1,-1,89,86,86,95,95,97,94,96,94,.,.,.,89,95,86,95,96,94,78,83,78,67,70,62,95,95,96
'227901185,93,83,100,100,100,100,.,.,.,87,87,87,78,79,75,84,85,84,86,85,86,86,87,86,83,-1,-1,83,83,83,88,90,87,81,83,81,53,71,46,93,92,94
'227901186,.,.,.,86,83,83,.,.,.,82,85,78,57,-1,-1,82,85,78,81,81,80,82,86,78,-1,-1,-1,83,86,80,83,91,76,81,85,77,33,45,24,100,100,100
'227901187,96,94,100,91,96,89,.,.,.,92,94,92,70,-1,-1,72,79,72,92,93,94,86,87,86,.,.,.,65,75,68,92,94,90,73,77,74,67,65,70,95,97,95
'227901188,-1,-1,-1,.,.,.,.,.,.,72,82,65,86,91,82,72,81,65,77,82,73,71,81,64,.,.,.,71,81,64,67,81,56,70,80,62,28,41,18,73,-1,-1
'227901189,55,-1,-1,.,.,.,.,.,.,70,71,70,69,59,74,71,71,70,74,72,72,71,73,69,.,.,.,73,75,71,68,70,68,66,67,66,51,54,46,-1,-1,-1
'227901190,-1,-1,-1,-1,-1,-1,.,.,.,73,75,71,84,75,92,72,74,69,77,78,76,72,75,69,-1,-1,-1,71,76,66,69,73,65,67,69,64,36,43,29,83,75,88
'227901192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901193,-1,-1,-1,.,.,.,.,.,.,67,76,67,-1,-1,-1,67,75,67,79,86,72,68,76,68,.,.,.,70,77,70,56,65,62,66,75,66,-1,-1,-1,-1,-1,-1
'227901194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901250,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901251,.,.,.,.,.,.,.,.,.,53,70,50,-1,-1,-1,67,83,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,.,58,71,56,.,.,.,53,70,50,68,86,71
'227904001,82,77,75,92,100,88,-1,.,-1,81,76,73,74,66,67,75,74,66,85,83,80,80,79,71,75,-1,-1,61,77,47,76,70,67,68,67,56,35,29,24,84,75,77
'227904003,73,64,61,86,83,79,-1,-1,-1,71,64,61,69,64,58,70,64,60,76,70,67,68,63,58,75,-1,-1,51,55,40,67,59,57,64,56,53,39,37,29,79,65,72
'227904004,88,90,78,93,96,85,84,-1,70,85,82,78,79,79,68,77,73,66,90,88,84,82,77,73,89,.,-1,56,61,40,82,77,72,69,65,55,46,54,29,93,88,88
'227904041,72,74,74,89,89,91,-1,-1,-1,73,78,76,64,66,68,65,72,67,77,80,82,69,76,72,78,-1,-1,54,68,56,70,76,71,51,59,56,26,35,25,86,87,90
'227904042,72,72,68,83,89,77,-1,-1,-1,68,68,68,57,52,61,65,66,64,71,71,74,67,69,66,-1,-1,-1,56,65,53,65,66,62,56,58,55,33,33,30,77,76,83
'227904043,94,95,95,92,96,92,.,.,.,81,82,83,71,69,79,70,73,75,84,85,87,79,83,80,100,-1,-1,59,66,62,78,81,79,60,65,65,41,43,46,84,86,85
'227904045,80,78,67,91,93,94,75,-1,-1,67,65,71,60,51,68,64,62,69,67,60,74,63,62,67,.,.,.,52,57,57,67,69,69,51,52,58,29,26,30,67,66,59
'227904046,84,83,83,97,98,96,-1,-1,-1,88,87,89,78,75,81,80,78,81,90,87,92,85,84,86,100,-1,-1,75,70,79,86,87,85,61,59,63,46,49,42,93,93,93
'227904048,80,76,83,92,97,94,100,-1,-1,83,89,82,80,83,80,73,83,73,86,89,86,77,86,76,-1,-1,-1,60,76,61,80,88,79,67,78,66,37,56,28,92,96,91
'227904101,74,73,80,83,89,78,-1,-1,-1,81,83,82,83,89,83,69,74,71,80,80,81,76,78,77,-1,-1,-1,77,81,81,82,86,82,65,69,69,45,60,45,88,89,89
'227904102,-1,-1,-1,93,95,95,.,.,.,82,79,85,83,79,92,80,78,84,86,83,91,81,78,83,.,.,.,82,83,82,79,77,81,76,74,80,50,46,58,79,71,86
'227904103,94,100,100,96,96,96,-1,-1,-1,77,80,81,70,71,75,66,72,72,80,82,88,67,73,72,.,.,.,68,80,68,75,78,76,59,64,64,50,47,59,88,86,92
'227904104,75,-1,-1,75,74,84,-1,-1,-1,64,69,64,51,59,48,59,65,58,61,65,64,67,73,65,.,.,.,68,72,74,66,73,64,45,54,43,33,41,26,68,70,73
'227904105,100,-1,-1,89,96,82,-1,-1,-1,66,72,66,66,67,69,66,72,65,66,66,69,63,70,63,.,.,.,63,70,62,66,77,64,62,67,62,22,34,18,71,73,79
'227904106,80,82,82,92,92,92,-1,-1,-1,76,79,78,60,64,62,65,69,69,79,81,83,76,79,80,.,.,.,75,77,77,73,77,73,56,61,59,36,38,39,83,88,84
'227904107,62,-1,-1,75,-1,-1,.,.,.,69,68,69,59,52,66,66,66,66,70,66,73,70,72,68,.,.,.,70,71,68,68,72,64,60,59,61,39,41,38,85,88,88
'227904108,75,83,58,90,93,87,.,.,.,75,79,74,54,56,56,57,64,53,77,81,78,79,82,80,.,.,.,69,78,72,74,77,71,55,61,56,56,59,52,91,97,89
'227904109,85,-1,100,90,96,87,.,.,.,77,79,79,69,67,76,73,75,76,78,81,80,75,78,76,.,.,.,81,88,80,76,77,78,72,74,74,21,32,20,89,85,91
'227904110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904111,78,-1,-1,75,83,-1,.,.,.,72,74,76,67,68,79,71,73,74,72,74,75,73,75,75,.,.,.,78,79,78,73,75,77,71,72,75,37,39,39,76,77,77
'227904112,90,87,93,86,88,88,.,.,.,89,89,93,75,77,79,84,85,90,92,91,95,89,88,93,-1,-1,-1,83,92,83,87,89,90,64,64,71,48,47,50,93,94,95
'227904113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904114,96,100,100,95,100,88,.,.,.,72,76,74,66,74,68,63,69,64,77,78,81,67,71,69,-1,-1,-1,68,75,67,67,74,67,60,64,62,25,31,26,81,81,85
'227904115,88,91,86,91,92,92,.,.,.,91,91,92,91,92,92,80,76,86,90,88,91,89,86,90,.,.,.,84,87,87,92,93,93,79,77,86,55,52,62,92,93,94
'227904116,79,92,77,90,95,90,-1,-1,-1,85,90,85,84,92,84,81,88,79,89,92,91,84,88,84,.,.,.,80,86,79,81,88,80,77,84,76,49,63,40,89,92,91
'227904117,-1,-1,-1,93,96,93,.,.,.,79,81,79,65,67,64,76,77,78,83,83,87,77,76,79,-1,-1,-1,88,89,89,77,79,74,68,72,66,52,59,45,68,70,60
'227904118,91,91,91,90,97,92,-1,-1,-1,86,90,87,82,87,79,80,88,77,89,92,90,84,86,89,71,-1,-1,77,86,86,83,88,84,74,81,78,48,63,48,87,91,87
'227904119,71,-1,-1,-1,-1,-1,.,.,.,77,81,73,78,80,74,76,80,72,80,83,79,76,81,73,-1,-1,-1,76,84,72,74,80,68,72,78,68,39,47,31,93,100,94
'227904120,71,69,85,86,100,88,.,.,.,81,82,83,69,74,72,71,71,74,81,81,85,80,80,79,-1,-1,-1,64,67,67,81,84,81,67,69,70,46,53,41,94,93,96
'227907001,72,-1,67,71,-1,58,-1,.,-1,63,59,52,57,54,46,62,59,51,69,66,60,63,61,53,-1,-1,-1,43,52,27,56,54,44,53,53,39,28,30,17,74,79,60
'227907002,.,.,.,.,.,.,.,.,.,35,-1,22,38,-1,25,32,-1,17,36,-1,22,35,-1,22,.,.,.,23,-1,-1,34,-1,23,34,-1,20,-1,-1,-1,29,-1,-1
'227907004,100,-1,-1,100,.,100,-1,.,.,90,81,85,85,64,77,88,82,81,93,85,90,90,85,84,-1,-1,-1,76,75,65,88,79,81,81,76,75,75,100,-1,95,91,91
'227907041,56,61,58,60,-1,-1,-1,-1,-1,58,60,60,55,53,56,54,56,57,62,63,65,57,60,60,-1,-1,-1,42,48,43,53,56,55,45,47,47,22,23,21,70,68,70
'227907042,72,65,76,88,93,80,100,-1,-1,63,65,67,61,60,65,61,63,65,66,64,73,61,65,66,.,.,.,40,46,44,61,66,62,51,54,56,26,31,33,78,75,81
'227907101,63,-1,-1,.,.,.,.,.,.,73,79,71,67,74,63,72,77,70,75,79,76,74,80,71,-1,-1,-1,71,81,68,71,79,67,69,76,66,51,58,42,80,80,93
'227907102,58,78,67,77,75,85,-1,-1,-1,71,74,75,63,67,67,68,72,72,74,76,77,74,78,78,.,.,.,68,74,71,69,73,74,62,66,67,17,-1,-1,79,77,81
'227907104,83,-1,-1,.,.,.,.,.,.,66,71,60,65,72,59,63,67,58,70,72,68,65,70,60,-1,-1,-1,64,68,59,61,70,53,63,68,57,-1,-1,-1,74,86,-1
'227907105,-1,-1,-1,.,.,.,-1,-1,-1,60,68,60,47,59,38,56,65,56,62,67,63,59,68,59,-1,-1,-1,56,66,58,58,69,57,56,66,57,60,71,53,83,89,89
'227907106,-1,-1,-1,71,-1,-1,-1,-1,-1,59,61,60,55,50,60,54,57,56,58,57,62,57,64,57,.,.,.,54,64,53,59,64,59,49,54,51,37,38,-1,76,62,85
'227907107,-1,-1,-1,100,-1,-1,.,.,.,55,59,59,49,46,57,54,56,58,60,60,67,55,61,57,.,.,.,60,69,61,50,58,50,54,61,58,13,-1,-1,64,-1,-1
'227907108,63,73,55,85,85,88,.,.,.,75,79,75,63,63,67,69,76,69,78,80,79,77,82,75,.,.,.,76,85,74,72,79,71,73,81,72,53,53,63,89,100,82
'227907109,75,73,67,100,-1,-1,.,.,.,66,66,70,58,52,66,61,62,65,68,64,77,66,69,69,.,.,.,57,65,58,64,68,63,54,55,61,39,33,43,79,75,82
'227909001,98,100,97,99,100,98,.,.,.,97,94,96,79,-1,89,94,91,93,99,97,98,96,86,96,100,.,-1,84,-1,77,96,91,94,85,81,77,81,79,73,97,96,96
'227909005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227909041,95,97,93,98,99,97,-1,-1,-1,96,97,96,85,80,91,79,89,70,97,97,97,91,92,90,100,-1,-1,77,93,73,95,96,95,83,88,80,67,65,64,97,98,97
'227909042,98,100,100,97,97,96,.,.,.,96,96,96,100,-1,-1,83,72,85,96,96,97,92,90,92,-1,-1,-1,35,-1,-1,95,97,95,75,78,74,74,78,73,96,97,96
'227909101,91,92,100,98,96,100,.,.,.,93,93,96,100,-1,-1,86,100,82,92,91,97,90,89,95,-1,-1,-1,93,100,100,94,95,95,76,81,85,66,60,67,93,93,95
'227909102,97,100,100,95,96,95,.,.,.,94,95,95,88,-1,-1,100,100,100,94,92,96,92,97,94,-1,-1,-1,70,71,71,95,98,95,73,78,70,71,75,70,95,95,95
'227909103,100,100,100,100,100,100,.,.,.,93,94,94,-1,-1,-1,81,88,81,92,91,92,91,94,90,100,-1,-1,85,100,86,94,96,95,59,85,54,66,67,67,93,93,94
'227909104,96,100,89,100,100,100,.,.,.,97,97,98,.,.,.,.,.,.,98,97,99,99,97,100,.,.,.,100,-1,-1,97,98,98,88,80,93,81,80,85,97,97,98
'227909105,95,96,96,99,99,100,.,.,.,95,96,96,-1,-1,-1,100,-1,-1,96,95,99,94,91,95,.,.,.,88,100,83,94,96,94,91,100,95,77,76,76,94,95,95
'227909106,100,100,100,98,100,97,.,.,.,95,96,96,100,-1,-1,91,100,89,95,95,96,92,98,93,-1,-1,-1,82,86,86,95,97,96,74,78,75,68,70,73,95,95,96
'227910001,84,100,68,69,-1,59,.,.,.,68,69,55,65,63,54,67,69,53,73,74,62,67,70,54,-1,-1,-1,46,62,26,62,64,48,58,63,44,35,40,21,73,50,64
'227910002,.,.,.,-1,.,-1,.,.,.,43,61,32,37,-1,-1,44,63,32,46,65,36,43,57,32,-1,.,.,37,63,19,41,57,29,43,59,31,50,-1,50,53,-1,-1
'227910005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227910041,70,58,75,63,67,56,.,.,.,63,67,62,62,66,67,62,66,61,68,69,68,63,67,62,63,-1,-1,49,57,45,59,64,57,51,54,49,24,35,21,66,70,65
'227910042,81,-1,100,-1,-1,-1,.,.,.,64,65,64,65,63,69,63,65,63,69,70,70,64,65,63,-1,-1,-1,48,51,47,59,60,58,49,52,49,39,44,27,75,73,76
'227910043,82,-1,-1,100,-1,-1,.,.,.,59,61,62,54,56,54,58,61,61,62,64,67,59,62,62,-1,-1,-1,47,54,50,56,59,57,48,51,52,22,24,24,58,56,67
'227910101,-1,-1,-1,75,-1,-1,.,.,.,69,78,64,93,90,100,68,77,61,71,79,68,69,77,62,100,-1,-1,64,76,57,68,77,60,58,70,50,34,41,31,62,76,62
'227910106,63,67,56,-1,-1,-1,.,.,.,64,67,61,51,39,44,63,67,59,67,69,62,65,68,62,-1,-1,-1,59,63,56,62,65,60,58,59,54,23,27,20,76,70,70
'227910107,100,-1,-1,.,.,.,.,.,.,68,77,63,63,-1,-1,69,77,64,71,78,67,68,77,63,.,.,.,71,81,64,66,75,60,69,78,63,47,62,48,-1,-1,-1
'227910108,-1,-1,-1,-1,-1,-1,.,.,.,61,65,55,59,58,55,60,64,55,64,69,62,60,65,55,.,.,.,67,72,64,57,61,49,55,59,49,43,53,35,-1,-1,-1
'227910109,72,71,71,-1,-1,-1,.,.,.,58,60,57,52,46,54,56,59,55,64,68,65,57,63,55,.,.,.,54,57,57,52,53,49,47,50,46,14,-1,-1,81,81,75
'227910110,-1,-1,-1,85,-1,-1,.,.,.,64,68,63,56,59,51,62,65,61,67,70,68,63,68,63,-1,-1,-1,60,67,57,60,66,57,56,61,54,30,38,24,73,76,75
'227910111,-1,-1,-1,.,.,.,.,.,.,64,74,60,70,-1,-1,63,73,58,69,77,66,65,74,59,-1,-1,-1,59,71,53,59,70,53,56,67,50,32,38,24,57,55,64
'227910112,100,100,100,-1,-1,-1,.,.,.,73,82,65,72,83,62,72,81,63,78,82,72,73,83,64,.,.,.,73,85,62,69,83,58,68,79,57,27,45,-1,74,74,74
'227912001,56,-1,-1,-1,.,-1,-1,-1,-1,81,74,76,83,-1,-1,66,61,61,87,79,87,79,85,71,-1,.,-1,71,100,42,77,71,68,66,68,57,36,-1,30,83,73,78
'227912002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227912041,65,58,58,100,-1,-1,-1,-1,-1,79,80,84,-1,-1,-1,66,68,72,79,77,86,71,72,76,-1,-1,-1,51,56,67,79,83,82,53,56,65,34,33,38,81,83,86
'227912101,100,100,100,.,.,.,-1,-1,-1,88,91,85,.,.,.,79,84,74,91,93,89,88,89,87,-1,-1,-1,87,83,83,85,89,83,78,81,69,58,68,53,88,91,84
'227913001,94,89,89,99,100,98,.,.,.,92,88,88,80,75,68,74,78,58,96,92,94,84,85,73,100,-1,100,54,52,44,89,84,82,82,80,71,56,52,40,94,88,91
'227913002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227913041,92,94,96,97,97,98,100,-1,-1,95,95,95,86,92,75,82,81,81,96,95,97,89,90,90,-1,-1,-1,89,83,94,94,96,94,79,80,81,63,64,61,95,96,96
'227913042,99,100,100,96,98,95,.,.,.,92,93,92,86,-1,-1,77,79,76,92,94,92,83,86,82,90,-1,-1,53,63,49,91,93,91,73,78,71,56,64,56,94,96,95
'227913101,100,100,100,100,100,100,.,.,.,86,88,85,55,-1,-1,74,80,70,85,86,85,79,84,76,-1,-1,-1,71,79,62,86,89,85,70,76,67,52,62,59,92,93,93
'227913102,92,91,91,98,100,97,.,.,.,93,92,95,73,-1,-1,86,82,94,93,90,95,92,87,98,100,-1,-1,90,91,100,93,93,95,75,78,79,65,65,72,93,91,94
'227913103,89,86,93,98,100,100,.,.,.,92,92,95,89,100,83,84,79,93,92,91,96,79,82,84,-1,-1,-1,85,90,90,91,93,93,70,71,75,67,69,76,93,94,96
'227913104,83,73,91,96,96,96,.,.,.,95,96,97,89,-1,-1,95,94,100,95,94,96,93,92,96,-1,-1,-1,100,100,100,96,97,98,80,77,87,63,56,71,97,97,97
'227913105,94,100,92,95,100,100,.,.,.,92,94,95,77,100,100,70,75,72,95,96,98,80,84,83,100,-1,-1,68,64,73,90,93,91,65,71,75,67,66,77,95,96,97
'227913106,96,94,100,100,100,100,.,.,.,92,93,95,-1,-1,-1,88,89,96,95,96,99,90,91,91,.,.,.,89,-1,-1,88,90,91,73,75,82,66,65,83,92,93,96
