Campus_Name,Lat,Lng,Address,Zipcode
AKINS H S,30.1487015,-97.8017043,"10701 S 1st St, Austin, TX 78748, USA",78748
ALLISON EL,30.2358469,-97.691485,"515 Vargas Rd, Austin, TX 78741, USA",78741
ALTERNATIVE LEARNING CENTER,30.2556753,-97.6971523,"4900 Gonzales St, Austin, TX 78702, USA",78702
ANDERSON H S,30.375657,-97.7527899,"8403 Mesa Dr, Austin, TX 78759, USA",78759
ANDREWS EL,30.317534,-97.6796683,"6801 Northeast Dr, Austin, TX 78723, USA",78723
AUSTIN H S,30.2735577,-97.7667348,"1715 W Cesar Chavez St, Austin, TX 78703, USA",78703
BAILEY M S,30.164015,-97.8727663,"4020 Lost Oasis Hollow, Austin, TX 78739, USA",78739
BALDWIN EL,30.1848897,-97.923453,"12200 Meridian Park Blvd, Austin, TX 78739, USA",78739
BARANOFF EL,30.153903,-97.8521639,"12009 Buckingham Gate Rd, Austin, TX 78748, USA",78748
BARRINGTON EL,30.3605295,-97.6960642,"400 Cooper Dr, Austin, TX 78753, USA",78753
BARTON HILLS EL,30.2541688,-97.7831737,"2108 Barton Hills Dr, Austin, TX 78704, USA",78704
BECKER EL,30.2503357,-97.7596416,"906 W Milton St, Austin, TX 78704, USA",78704
BEDICHEK M S,30.195123,-97.7871785,"6800 Bill Hughes Rd, Austin, TX 78745, USA",78745
BLACKSHEAR EL,30.2669672,-97.7221685,"1712 E 11th St, Austin, TX 78702, USA",78702
BLANTON EL,30.3069305,-97.6906309,"5408 Westminster Dr, Austin, TX 78723, USA",78723
BLAZIER EL,30.1561657,-97.7514525,"8601 Vertex Blvd, Austin, TX 78744, USA",78744
BOONE EL,30.2039026,-97.8403764,"8101 Croftwood Dr, Austin, TX 78749, USA",78749
BOWIE H S,30.1876535,-97.8584973,"4103 W Slaughter Ln, Austin, TX 78749, USA",78749
BRENTWOOD EL,30.3320636,-97.7073887,"601 E St Johns Ave, Austin, TX 78757, USA",78757
BROOKE EL,30.2544103,-97.7087015,"3100 E 4th St, Austin, TX 78702, USA",78702
BRYKER WOODS EL,30.3051681,-97.7511749,"3309 Kerbey Ln, Austin, TX 78703, USA",78703
BURNET M S,30.3648959,-97.7253413,"8401 Hathaway Dr, Austin, TX 78757, USA",78757
CAMPBELL EL,30.2826063,-97.7138678,"2613 Rogers Ave, Austin, TX 78722, USA",78722
CASEY EL,30.1768766,-97.8147005,"9400 Texas Oaks Dr, Austin, TX 78748, USA",78748
CASIS EL,30.304345,-97.765049,"2710 Exposition Blvd, Austin, TX 78703, USA",78703
CLAYTON EL,30.195001,-97.906573,"7525 La Crosse Ave, Austin, TX 78739, USA",78739
COOK EL,30.3773594,-97.7046084,"1511 Cripple Creek Dr, Austin, TX 78758, USA",78758
COVINGTON M S,30.2127052,-97.8341827,"3700 Convict Hill Rd, Austin, TX 78749, USA",78749
COWAN EL,30.188688,-97.8334808,"2817 Kentish Dr, Austin, TX 78748, USA",78748
CROCKETT H S,30.213196,-97.7966913,"5601 Manchaca Rd, Austin, TX 78745, USA",78745
CUNNINGHAM EL,30.210476,-97.805811,"2200 Berkeley Ave, Austin, TX 78745, USA",78745
DAVIS EL,30.4175138,-97.7419576,"5214 Duval Rd, Austin, TX 78727, USA",78727
DAWSON EL,30.2342015,-97.7636141,"3001 S 1st St, Austin, TX 78704, USA",78704
DOBIE M S,30.3545789,-97.6794391,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753
DOBIE PK CENTER,30.3557833,-97.6788771,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753
DOSS EL,30.3560865,-97.7628075,"7005 Northledge Dr, Austin, TX 78731, USA",78731
EASTSIDE MEMORIAL AT THE JOHNSTON,30.258016,-97.681468,"1012 Arthur Stiles Rd, Austin, TX 78721, USA",78721
FULMORE M S,30.243927,-97.750467,"201 E Mary St, Austin, TX 78704, USA",78704
GALINDO EL,30.2295173,-97.7718943,"3800 S 2nd St, Austin, TX 78704, USA",78704
GARCIA YMLA,30.3108226,-97.6422867,"7414 Johnny Morris Rd, Austin, TX 78724, USA",78724
GARZA INDEPENDENCE H S,30.2775234,-97.7210943,"1600 Chicon St, Austin, TX 78702, USA",78702
GORZYCKI MIDDLE,30.2143277,-97.8918768,"7412 W Slaughter Ln, Austin, TX 78749, USA",78749
GOVALLE EL,30.2641099,-97.6985658,"3601 Govalle Ave, Austin, TX 78702, USA",78702
GRADUATION PREP ACADEMY TRAVIS,30.2329676,-97.7441854,"1211 E Oltorf St, Austin, TX 78704, USA",78704
GRAHAM EL,30.3727046,-97.6693002,"11211 Tom Adams Dr, Austin, TX 78753, USA",78753
GUERRERO THOMPSON,30.3638869,-97.6916658,"102 E Rundberg Ln, Austin, TX 78753, USA",78753
GULLETT EL,30.3435482,-97.748588,"6310 Treadwell Blvd, Austin, TX 78757, USA",78757
HARRIS EL,30.3148183,-97.690812,"1711 Wheless Ln, Austin, TX 78723, USA",78723
HART EL,30.3424507,-97.6887123,"8301 Furness Dr, Austin, TX 78753, USA",78753
HIGHLAND PARK EL,30.3306923,-97.7600483,"4900 Fairview Dr, Austin, TX 78731, USA",78731
HILL EL,30.3763558,-97.7485748,"8601 Tallwood Dr, Austin, TX 78759, USA",78759
HOUSTON EL,30.1972536,-97.7550395,"5409 Ponciana Dr, Austin, TX 78744, USA",78744
INTERNATIONAL H S,30.2571118,-97.6820612,"1012 Arthur Stiles Rd, Austin, TX 78721, USA",78721
JORDAN EL,30.3010887,-97.6467738,"6711 Johnny Morris Rd, Austin, TX 78724, USA",78724
JOSLIN EL,30.2278837,-97.7901739,"4500 Manchaca Rd, Austin, TX 78745, USA",78745
KEALING M S,30.2710259,-97.7217655,"1607 Pennsylvania Ave, Austin, TX 78702, USA",78702
KIKER EL,30.1913889,-97.8813889,"5913 La Crosse Ave, Austin, TX 78739, USA",78739
KOCUREK EL,30.1780215,-97.8350106,"9800 Curlew Dr, Austin, TX 78748, USA",78748
LAMAR M S,30.3377874,-97.7405977,"6201 Wynona Ave, Austin, TX 78757, USA",78757
LANGFORD EL,30.182306,-97.7633055,"2206 Blue Meadow Dr, Austin, TX 78744, USA",78744
LANIER H S,30.3602094,-97.7083219,"1201 Payton Gin Rd, Austin, TX 78758, USA",78758
LASA H S,30.313549,-97.656741,"7309 Lazy Creek Dr, Austin, TX 78724, USA",78724
LBJ HIGH SCHOOL,30.313495,-97.656667,"7309 Lazy Creek Dr, Austin, TX 78724, USA",78724
LEE EL,30.2931723,-97.7272036,"3308 Hampton Rd, Austin, TX 78705, USA",78705
LINDER EL,30.2242083,-97.7379358,"2800 Metcalfe Rd, Austin, TX 78741, USA",78741
MAPLEWOOD EL,30.293337,-97.714901,"3808 Maplewood Ave, Austin, TX 78722, USA",78722
MARTIN M S,30.2533229,-97.7305357,"1601 Haskell St, Austin, TX 78702, USA",78702
MATHEWS EL,30.2782568,-97.7608973,"906 W Lynn St, Austin, TX 78703, USA",78703
MCBEE EL,30.3833361,-97.6910859,"1001 W Braker Ln, Austin, TX 78758, USA",78758
MCCALLUM H S,30.3256574,-97.7303003,"5600 Sunshine Dr, Austin, TX 78756, USA",78756
MENCHACA EL,30.1408735,-97.8368854,"1218 West, Farm to Market 1626, Manchaca, TX 78652, USA",78652
MENDEZ M S,30.188675,-97.743119,"5106 Village Square Dr, Austin, TX 78744, USA",78744
METZ EL,30.2543606,-97.7216241,"84 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
MILLS EL,30.2109429,-97.8784053,"6201 Davis Ln, Austin, TX 78749, USA",78749
MURCHISON M S,30.3540274,-97.7586065,"3700 N Hills Dr, Austin, TX 78731, USA",78731
NORMAN EL,30.2783251,-97.6739718,"4001 Tannehill Ln, Austin, TX 78721, USA",78721
O HENRY M S,30.2854914,-97.7737553,"2610 W 10th St, Austin, TX 78703, USA",78703
OAK HILL EL,30.2379909,-97.8587606,"6101 Patton Ranch Rd, Austin, TX 78735, USA",78735
OAK SPRINGS EL,30.2719146,-97.7045468,"3601 Webberville Rd, Austin, TX 78702, USA",78702
ODOM EL,30.2058822,-97.7893442,"1010 Turtle Creek Blvd, Austin, TX 78745, USA",78745
ORTEGA EL,30.2699717,-97.6842751,"1135 Garland Ave, Austin, TX 78721, USA",78721
OVERTON EL,30.3005948,-97.6357462,"7201 Colony Loop Dr, Austin, TX 78724, USA",78724
PADRON EL,30.3737197,-97.7196559,"2011 W Rundberg Ln, Austin, TX 78758, USA",78758
PALM EL,30.1648241,-97.7436728,"7601 Dixie Dr, Austin, TX 78744, USA",78744
PAREDES M S,30.1671271,-97.8112954,"10100 S Mary Moore Searight Dr, Austin, TX 78748, USA",78748
PATTON EL,30.2317972,-97.845514,"6001 Westcreek Dr, Austin, TX 78749, USA",78749
PEASE EL,30.2752911,-97.7480349,"1106 Rio Grande St, Austin, TX 78701, USA",78701
PECAN SPRINGS EL,30.3030711,-97.6761758,"3100 Rogge Ln, Austin, TX 78723, USA",78723
PEREZ EL,30.170521,-97.7561855,"7500 S Pleasant Valley Rd, Austin, TX 78744, USA",78744
PICKLE EL,30.3334079,-97.6938273,"1101 Wheatley Ave, Austin, TX 78752, USA",78752
PILLOW EL,30.3693647,-97.7336028,"3025 Crosscreek Dr, Austin, TX 78757, USA",78757
PLEASANT HILL EL,30.1968898,-97.7760696,"6405 Circle S Rd, Austin, TX 78745, USA",78745
PREMIER H S AT LANIER,30.226571,-97.783437,"1701 W Ben White Blvd Ste. 100A, Austin, TX 78704, USA",78704
PREMIER H S AT TRAVIS,30.226571,-97.783437,"1701 W Ben White Blvd Ste. 100A, Austin, TX 78704, USA",78704
READ PRE-K DEMONSTRATION SCH,30.3526521,-97.7368764,"2608 Richcreek Rd, Austin, TX 78757, USA",78757
REAGAN H S,30.3224789,-97.6898391,"7104 Berkman Dr, Austin, TX 78752, USA",78752
REILLY EL,30.3284124,-97.7198896,"405 Denson Dr, Austin, TX 78752, USA",78752
RIDGETOP EL,30.3118944,-97.716536,"5005 Caswell Ave, Austin, TX 78751, USA",78751
RODRIGUEZ EL,30.2006584,-97.7472497,"4400 Franklin Park Dr, Austin, TX 78744, USA",78744
ROSEDALE,30.319799,-97.7403454,"2117 W 49th St, Austin, TX 78756, USA",78756
SADLER MEANS YWLA,30.3134991,-97.6805013,"6401 N Hampton Dr, Austin, TX 78723, USA",78723
SANCHEZ EL,30.2542842,-97.7217272,"84 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
SCHOOL FOR YOUNG MEN,30.23624,-97.7884298,"2206 Prather Ln, Austin, TX 78704, USA",78704
SIMS EL,30.2794494,-97.6865081,"1203 Springdale Rd, Austin, TX 78721, USA",78721
SMALL M S,30.2340261,-97.8416426,"4801 Monterey Oaks Blvd, Austin, TX 78749, USA",78749
ST ELMO EL,30.2219257,-97.773508,"600 W St Elmo Rd, Austin, TX 78745, USA",78745
SUMMITT EL,30.4185353,-97.7192044,"12207 Brigadoon Ln, Austin, TX 78727, USA",78727
SUNSET VALLEY EL,30.2278785,-97.8066874,"3000 Jones Rd, Austin, TX 78745, USA",78745
TRAVIS H S,30.2341564,-97.7433193,"1301-1399 E Oltorf St, Austin, TX 78704, USA",78704
TRAVIS HTS EL,30.2415592,-97.7459425,"2010 Alameda Dr, Austin, TX 78704, USA",78704
UPHAUS EARLY CHILDHOOD CENTER,30.2018129,-97.7557408,"5200 Freidrich Ln, Austin, TX 78744, USA",78744
WALNUT CREEK EL,30.3798465,-97.6840821,"401 W Braker Ln, Austin, TX 78753, USA",78753
WEBB M S,30.3332555,-97.7070039,"601 E St Johns Ave, Austin, TX 78752, USA",78752
WEBB PRI CENTER,30.3448541,-97.7098053,"7801 Guadalupe St, Austin, TX 78752, USA",78752
WIDEN EL,30.1886264,-97.7401592,"5605 Nuckols Crossing Rd, Austin, TX 78744, USA",78744
WILLIAMS EL,30.180959,-97.791461,"500 Mairo St, Austin, TX 78748, USA",78748
WINN EL,30.3138542,-97.665306,"3500 Susquehanna Ln, Austin, TX 78723, USA",78723
WOOLDRIDGE EL,30.3648933,-97.709931,"1412 Norseman Terrace, Austin, TX 78758, USA",78758
WOOTEN EL,30.3529421,-97.7191571,"1406 Dale Dr, Austin, TX 78757, USA",78757
ZAVALA EL,30.2582433,-97.7198811,"310 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
ZILKER EL,30.2525438,-97.7745674,"1900 Bluebonnet Ln, Austin, TX 78704, USA",78704
